#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         617    -5.44741    -5.45067 0.000575061
         618    -5.44774    -5.45066  0.00057415
         619    -5.44774    -5.45066 0.000573242
         620    -5.44742    -5.45065 0.000572341
         621    -5.44774    -5.45065 0.000571439
         622    -5.44742    -5.45064 0.000570543
         623    -5.44775    -5.45064 0.000569647
         624    -5.44808    -5.45063 0.000568748
         625    -5.44777    -5.45063 0.000567857
         626    -5.44842    -5.45063 0.000566961
         627    -5.44876    -5.45062 0.000566064
         628    -5.44812    -5.45062 0.000565177
         629    -5.44813    -5.45062 0.000564292
         630    -5.44814    -5.45061  0.00056341
         631    -5.44848    -5.45061 0.000562527
         632    -5.44849     -5.4506 0.000561647
         633    -5.44851     -5.4506  0.00056077
         634     -5.4495     -5.4506 0.000559888
         635    -5.44984     -5.4506 0.000559007
         636    -5.44953     -5.4506 0.000558131
         637    -5.44922    -5.45059 0.000557259
         638    -5.44924    -5.45059  0.00055639
         639    -5.44925    -5.45059 0.000555523
         640    -5.44927    -5.45059 0.000554659
         641    -5.44896    -5.45059 0.000553799
         642    -5.44866    -5.45058 0.000552945
         643      -5.449    -5.45058  0.00055209
         644    -5.44902    -5.45058 0.000551238
         645    -5.44936    -5.45058 0.000550387
         646     -5.4497    -5.45057 0.000549537
         647     -5.4494    -5.45057  0.00054869
         648    -5.44974    -5.45057 0.000547845
         649    -5.44976    -5.45057 0.000547002
         650    -5.44978    -5.45057 0.000546162
         651    -5.44914    -5.45057 0.000545327
         652    -5.44916    -5.45056 0.000544495
         653    -5.44917    -5.45056 0.000543666
         654    -5.45016    -5.45056 0.000542835
         655     -5.4505    -5.45056 0.000542006
         656    -5.45051    -5.45056  0.00054118
         657     -5.4502    -5.45056 0.000540356
