#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         392    0.952376    0.950767  3.5466e-05
         393    0.952389    0.950771 3.56151e-05
         394    0.952403    0.950775 3.57646e-05
         395    0.952416     0.95078 3.59143e-05
         396    0.952429    0.950784 3.60644e-05
         397    0.952442    0.950788 3.62148e-05
         398    0.952456    0.950792 3.63654e-05
         399    0.952469    0.950796 3.65164e-05
         400    0.952483    0.950801 3.66677e-05
         401    0.952496    0.950805 3.68193e-05
         402     0.95251    0.950809 3.69712e-05
         403    0.952523    0.950813 3.71234e-05
         404    0.952537    0.950818 3.72759e-05
         405    0.952551    0.950822 3.74287e-05
         406    0.952565    0.950826 3.75818e-05
         407    0.952578     0.95083 3.77353e-05
         408    0.952592    0.950835  3.7889e-05
         409    0.952606    0.950839 3.80431e-05
         410     0.95262    0.950843 3.81975e-05
         411    0.952634    0.950848 3.83522e-05
         412    0.952648    0.950852 3.85071e-05
         413    0.952662    0.950857 3.86625e-05
         414    0.952676    0.950861 3.88181e-05
         415     0.95269    0.950865  3.8974e-05
         416    0.952704     0.95087 3.91302e-05
         417    0.952719    0.950874 3.92868e-05
         418    0.952733    0.950879 3.94437e-05
         419    0.952747    0.950883 3.96008e-05
         420    0.952762    0.950888 3.97583e-05
         421    0.952776    0.950892 3.99161e-05
         422    0.952791    0.950897 4.00743e-05
         423    0.952805    0.950901 4.02327e-05
         424     0.95282    0.950906 4.03915e-05
         425    0.952834     0.95091 4.05505e-05
         426    0.952849    0.950915 4.07099e-05
         427    0.952864    0.950919 4.08696e-05
         428    0.952878    0.950924 4.10297e-05
         429    0.952893    0.950928   4.119e-05
         430    0.952908    0.950933 4.13507e-05
         431    0.952923    0.950938 4.15117e-05
         432    0.952938    0.950942  4.1673e-05
         433    0.952953    0.950947 4.18346e-05
         434    0.952968    0.950952 4.19966e-05
         435    0.952983    0.950956 4.21589e-05
         436    0.952998    0.950961 4.23215e-05
         437    0.953013    0.950966 4.24844e-05
         438    0.953028     0.95097 4.26476e-05
         439    0.953044    0.950975 4.28112e-05
         440    0.953059     0.95098 4.29751e-05
         441    0.953074    0.950985 4.31393e-05
         442     0.95309    0.950989 4.33039e-05
         443    0.953105    0.950994 4.34688e-05
         444    0.953121    0.950999  4.3634e-05
         445    0.953136    0.951004 4.37995e-05
         446    0.953152    0.951009 4.39654e-05
         447    0.953168    0.951013 4.41316e-05
         448    0.953183    0.951018 4.42981e-05
         449    0.953199    0.951023  4.4465e-05
         450    0.953215    0.951028 4.46322e-05
         451    0.953231    0.951033 4.47997e-05
         452    0.953247    0.951038 4.49676e-05
         453    0.953263    0.951043 4.51358e-05
         454    0.953279    0.951048 4.53043e-05
         455    0.953295    0.951052 4.54732e-05
         456    0.953311    0.951057 4.56423e-05
         457    0.953327    0.951062 4.58119e-05
         458    0.953343    0.951067 4.59817e-05
         459     0.95336    0.951072  4.6152e-05
         460    0.953376    0.951077 4.63225e-05
         461    0.953392    0.951082 4.64934e-05
         462    0.953409    0.951087 4.66646e-05
         463    0.953425    0.951092 4.68362e-05
         464    0.953442    0.951098 4.70081e-05
         465    0.953458    0.951103 4.71803e-05
         466    0.953475    0.951108 4.73529e-05
         467    0.953491    0.951113 4.75258e-05
         468    0.953508    0.951118  4.7699e-05
         469    0.953525    0.951123 4.78727e-05
         470    0.953542    0.951128 4.80466e-05
         471    0.953559    0.951133 4.82209e-05
         472    0.953576    0.951139 4.83955e-05
         473    0.953593    0.951144 4.85705e-05
         474     0.95361    0.951149 4.87458e-05
         475    0.953627    0.951154 4.89215e-05
         476    0.953644    0.951159 4.90975e-05
         477    0.953661    0.951165 4.92739e-05
         478    0.953678     0.95117 4.94506e-05
         479    0.953695    0.951175 4.96276e-05
         480    0.953713     0.95118 4.98051e-05
         481     0.95373    0.951186 4.99828e-05
         482    0.953748    0.951191 5.01609e-05
         483    0.953765    0.951196 5.03394e-05
         484    0.953783    0.951202 5.05182e-05
         485      0.9538    0.951207 5.06974e-05
         486    0.953818    0.951212  5.0877e-05
         487    0.953836    0.951218 5.10568e-05
         488    0.953854    0.951223 5.12371e-05
         489    0.953871    0.951229 5.14177e-05
         490    0.953889    0.951234 5.15987e-05
         491    0.953907     0.95124   5.178e-05
         492    0.953925    0.951245 5.19617e-05
         493    0.953943     0.95125 5.21437e-05
         494    0.953961    0.951256 5.23261e-05
         495     0.95398    0.951261 5.25089e-05
         496    0.953998    0.951267  5.2692e-05
         497    0.954016    0.951273 5.28755e-05
         498    0.954034    0.951278 5.30594e-05
         499    0.954053    0.951284 5.32436e-05
         500    0.954071    0.951289 5.34282e-05
         501     0.95409    0.951295 5.36132e-05
         502    0.954108      0.9513 5.37985e-05
         503    0.954127    0.951306 5.39842e-05
         504    0.954145    0.951312 5.41702e-05
         505    0.954164    0.951317 5.43566e-05
         506    0.954183    0.951323 5.45434e-05
         507    0.954202    0.951329 5.47306e-05
         508    0.954221    0.951334 5.49181e-05
         509    0.954239     0.95134  5.5106e-05
         510    0.954258    0.951346 5.52943e-05
         511    0.954277    0.951351 5.54829e-05
         512    0.954297    0.951357 5.56719e-05
         513    0.954316    0.951363 5.58613e-05
         514    0.954335    0.951369 5.60511e-05
         515    0.954354    0.951375 5.62412e-05
         516    0.954374     0.95138 5.64317e-05
         517    0.954393    0.951386 5.66226e-05
         518    0.954412    0.951392 5.68139e-05
         519    0.954432    0.951398 5.70055e-05
         520    0.954451    0.951404 5.71975e-05
         521    0.954471     0.95141   5.739e-05
         522    0.954491    0.951416 5.75827e-05
         523     0.95451    0.951421 5.77759e-05
         524     0.95453    0.951427 5.79695e-05
         525     0.95455    0.951433 5.81634e-05
         526     0.95457    0.951439 5.83577e-05
         527     0.95459    0.951445 5.85524e-05
         528     0.95461    0.951451 5.87475e-05
         529     0.95463    0.951457  5.8943e-05
         530     0.95465    0.951463 5.91388e-05
         531     0.95467    0.951469 5.93351e-05
         532    0.954691    0.951475 5.95317e-05
         533    0.954711    0.951482 5.97287e-05
         534    0.954731    0.951488 5.99261e-05
         535    0.954752    0.951494 6.01239e-05
         536    0.954772      0.9515 6.03221e-05
         537    0.954793    0.951506 6.05207e-05
         538    0.954814    0.951512 6.07197e-05
         539    0.954834    0.951518  6.0919e-05
         540    0.954855    0.951524 6.11188e-05
         541    0.954876    0.951531 6.13189e-05
         542    0.954897    0.951537 6.15195e-05
         543    0.954918    0.951543 6.17205e-05
         544    0.954939    0.951549 6.19218e-05
         545     0.95496    0.951556 6.21235e-05
         546    0.954981    0.951562 6.23257e-05
         547    0.955002    0.951568 6.25282e-05
         548    0.955023    0.951574 6.27312e-05
         549    0.955044    0.951581 6.29345e-05
         550    0.955066    0.951587 6.31383e-05
         551    0.955087    0.951593 6.33424e-05
         552    0.955109      0.9516  6.3547e-05
         553     0.95513    0.951606 6.37519e-05
         554    0.955152    0.951613 6.39573e-05
         555    0.955173    0.951619 6.41631e-05
         556    0.955195    0.951625 6.43692e-05
         557    0.955217    0.951632 6.45758e-05
         558    0.955239    0.951638 6.47828e-05
         559    0.955261    0.951645 6.49902e-05
         560    0.955283    0.951651  6.5198e-05
         561    0.955305    0.951658 6.54063e-05
         562    0.955327    0.951664 6.56149e-05
         563    0.955349    0.951671  6.5824e-05
         564    0.955371    0.951677 6.60334e-05
         565    0.955394    0.951684 6.62433e-05
         566    0.955416    0.951691 6.64536e-05
         567    0.955438    0.951697 6.66643e-05
         568    0.955461    0.951704 6.68754e-05
         569    0.955483    0.951711  6.7087e-05
         570    0.955506    0.951717  6.7299e-05
         571    0.955529    0.951724 6.75114e-05
         572    0.955552    0.951731 6.77242e-05
         573    0.955574    0.951737 6.79374e-05
         574    0.955597    0.951744 6.81511e-05
         575     0.95562    0.951751 6.83651e-05
         576    0.955643    0.951757 6.85796e-05
         577    0.955666    0.951764 6.87946e-05
         578     0.95569    0.951771 6.90099e-05
         579    0.955713    0.951778 6.92257e-05
         580    0.955736    0.951785 6.94419e-05
         581    0.955759    0.951792 6.96586e-05
